,년,월,시간,주야,요일,시도,시군구,사고유형_대분류,면허경과년수,가해자법규위반,성별,연령,사망여부,가해자음주농도,보호장구,안전모_착용여부,도로종류,도로형태_대분류,도로형태,도로선형_대분류,도로선형_중분류,도로선형,교차로형태_대분류,교차로형태,노면상태_대분류,노면상태,기상상태,어린이보호구역여부,시도군구,exists,long,lat
114510,2018,6,7,주,금,충청북도,청주시,차대차,15~,중앙선 침범,남,70,1,0,,,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,충청북도청주시,1,127.511730555555,36.5839972222222
114631,2018,6,10,주,일,충청남도,부여군,차대차,10~14,안전운전 의무 불이행,남,66,1,0,안전모,,군도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,충청남도부여군,1,126.911863888888,36.2728222222222
114668,2018,6,2,야,월,전라남도,장흥군,차량단독,15~,안전운전 의무 불이행,남,73,1,0,안전모,미착용,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,비,N,전라남도장흥군,1,126.909108333333,34.678525
114723,2018,6,10,주,화,충청북도,청주시,철길건널목,미상,안전운전 의무 불이행,여,58,1,0,,,,철길건널목,철길건널목,직선,직선,평지,교차로아님,교차로아님,포장,,맑음,N,충청북도청주시,1,127.511730555555,36.5839972222222
114773,2018,6,3,야,수,부산시,부산진구,차대차,1~4,신호위반,남,17,1,0,안전모,미착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,부산시부산진구,1,129.055319444444,35.1599527777777
114819,2018,6,2,야,목,서울시,양천구,차대차,15~,안전운전 의무 불이행,남,21,1,0,안전모,착용,특별광역시도,단일로,지하차도(도로)내,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,서울시양천구,1,126.868708333333,37.5142305555555
114824,2018,6,7,주,목,경기도,안성시,차대차,15~,안전거리 미확보,남,79,1,0,안전모,미착용,일반국도,단일로,기타단일로,직선,직선,내리막,교차로아님,교차로아님,포장,건조,흐림,N,경기도안성시,1,127.281844444444,37.005175
115168,2018,6,13,주,수,경기도,성남시,차대차,1~4,안전운전 의무 불이행,남,54,1,0,안전모,착용,시도,,,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도성남시,1,127.147719444444,37.4474916666666
115201,2018,6,1,야,목,대구시,북구,차량단독,5~9,,남,46,1,0,,,특별광역시도,단일로,지하차도(도로)내,커브ㆍ곡각 ,우,오르막,교차로아님,교차로아님,포장,건조,맑음,N,대구시북구,1,128.582892353917,35.8858645969598
115240,2018,6,19,야,목,경기도,여주시,차량단독,1~4,안전운전 의무 불이행,남,80,1,0,안전모,미착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도여주시,1,127.639622222222,37.2953583333333
115256,2018,6,7,주,금,전라남도,해남군,차대차,1~4,중앙선 침범,남,65,1,0,안전모,착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라남도해남군,1,126.601288888888,34.5704361111111
115285,2018,6,16,주,금,충청남도,천안시,차대차,미상,안전거리 미확보,남,73,1,0.05%~0.09%,안전모,착용,시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,충청남도천안시,1,127.152466666666,36.804125
115388,2018,6,5,야,일,부산시,동래구,차대차,미상,신호위반,남,16,1,0,안전모,미착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,부산시동래구,1,129.085855555555,35.2018722222222
115530,2018,6,17,주,수,세종시,세종시,차대차,15~,신호위반,남,82,1,0,안전모,미착용,시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,세종시세종시,1,127.289448,36.479522
115579,2018,6,14,주,목,전라남도,화순군,차량단독,5~9,안전운전 의무 불이행,남,84,1,0,,,,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,비,N,전라남도화순군,1,126.988566666666,35.0614805555555
115652,2018,6,22,야,금,경상남도,하동군,차량단독,5~9,안전운전 의무 불이행,여,77,1,0,안전모,,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,흐림,N,경상남도하동군,1,127.753430555555,35.0642027777777
115657,2018,6,23,야,금,경기도,남양주시,차량단독,15~,안전운전 의무 불이행,남,47,1,0,안전모,착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,좌,오르막,교차로아님,교차로아님,포장,건조,맑음,N,경기도남양주시,1,127.218633333333,37.6331777777777
115665,2018,6,3,야,토,서울시,용산구,차량단독,5~9,안전운전 의무 불이행,남,25,1,0,안전모,착용,특별광역시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,서울시용산구,1,126.967522222222,37.5360944444444
115721,2018,7,15,주,일,전라북도,고창군,차량단독,5~9,안전운전 의무 불이행,남,68,1,0,안전모,미착용,,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,비,N,전라북도고창군,1,126.704108333333,35.4327388888888
115766,2018,7,17,주,월,전라북도,남원시,차량단독,15~,안전운전 의무 불이행,남,74,1,0,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,우,내리막,교차로아님,교차로아님,포장,건조,맑음,N,전라북도남원시,1,127.3925,35.4132555555555
115821,2018,7,0,야,수,제주시,서귀포시,차량단독,미상,안전운전 의무 불이행,남,55,1,0,안전모,착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,제주시서귀포시,1,126.512555555555,33.25235
115838,2018,7,16,주,수,전라북도,전주시,차대차,15~,신호위반,남,73,1,0,안전모,착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,전라북도전주시,1,127.121919444444,35.8091888888888
115854,2018,7,18,야,수,충청북도,제천시,차대차,미상,안전운전 의무 불이행,남,60,1,0.05%~0.09%,안전모,착용,시도,교차로,교차로내,직선,직선,내리막,교차로,교차로 - 오지이상,포장,건조,맑음,N,충청북도제천시,1,128.193152777777,37.1297694444444
115886,2018,7,7,주,목,경기도,가평군,차대차,미상,중앙선 침범,남,60,1,0,안전모,착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도가평군,1,127.511777777777,37.8288305555555
